NTC,PM10,PM2.5,PM1.0,CT1,CT2,CT3,CT4,value_TGmx,X_Tmax,Y_Tmax,ex_temperature,ex_humidity,ex_illuminance,collection_datetime,tagging_state
27.7,20.0,13.0,8.0,2.38,1.15,0.53,0.5,48.94,15.0,82.0,23.0,36.0,515.0,08-26 22:43:32,0
27.7,20.0,12.0,6.0,2.08,1.44,0.4,0.46,48.88,14.0,83.0,22.0,36.0,530.0,08-26 22:43:33,0
27.7,20.0,12.0,8.0,2.64,1.32,0.43,0.58,48.83,14.0,83.0,23.0,35.0,525.0,08-26 22:43:34,0
27.7,20.0,12.0,7.0,2.66,1.01,0.58,0.5,48.78,14.0,83.0,22.0,36.0,518.0,08-26 22:43:35,0
27.62,20.0,12.0,9.0,2.3,1.49,0.41,0.56,48.71,14.0,82.0,22.0,36.0,514.0,08-26 22:43:36,0
27.6,20.0,12.0,8.0,2.9,0.94,0.54,0.54,48.72,14.0,82.0,23.0,35.0,530.0,08-26 22:43:37,0
27.6,20.0,12.0,8.0,2.18,1.29,0.48,0.51,48.66,14.0,82.0,23.0,35.0,511.0,08-26 22:43:38,0
27.6,19.0,12.0,8.0,2.78,1.12,0.48,0.57,48.6,14.0,82.0,22.0,36.0,516.0,08-26 22:43:39,0
27.6,20.0,11.0,9.0,2.38,1.09,0.53,0.5,48.55,14.0,83.0,23.0,35.0,520.0,08-26 22:43:40,0
27.6,22.0,12.0,10.0,2.42,1.42,0.41,0.56,48.49,14.0,83.0,22.0,36.0,515.0,08-26 22:43:41,0
27.6,19.0,11.0,8.0,2.89,0.96,0.54,0.52,48.42,14.0,83.0,23.0,35.0,522.0,08-26 22:43:42,0
27.6,20.0,12.0,8.0,2.14,1.47,0.46,0.54,48.47,14.0,83.0,23.0,35.0,526.0,08-26 22:43:43,0
27.6,20.0,12.0,7.0,2.88,1.07,0.49,0.56,48.49,14.0,83.0,22.0,36.0,516.0,08-26 22:43:44,0
27.6,20.0,12.0,8.0,2.22,1.21,0.51,0.5,48.43,14.0,83.0,22.0,36.0,522.0,08-26 22:43:45,0
27.6,20.0,12.0,7.0,2.52,1.27,0.43,0.57,48.38,14.0,83.0,23.0,35.0,522.0,08-26 22:43:46,0
27.6,20.0,13.0,8.0,2.64,0.96,0.54,0.5,48.37,14.0,83.0,22.0,36.0,513.0,08-26 22:43:47,0
27.6,20.0,13.0,8.0,2.2,1.46,0.42,0.54,48.38,14.0,83.0,23.0,36.0,523.0,08-26 22:43:48,0
27.6,20.0,12.0,7.0,2.86,0.89,0.51,0.51,48.37,14.0,83.0,22.0,36.0,512.0,08-26 22:43:49,0
27.6,20.0,12.0,8.0,2.15,1.3,0.49,0.48,48.36,14.0,83.0,22.0,35.0,524.0,08-26 22:43:50,0
27.51,20.0,12.0,9.0,2.69,1.19,0.42,0.58,48.33,14.0,83.0,23.0,35.0,521.0,08-26 22:43:51,0
27.4,20.0,12.0,8.0,2.46,1.06,0.52,0.5,48.42,14.0,83.0,22.0,36.0,512.0,08-26 22:43:52,0
27.49,19.0,12.0,8.0,2.37,1.46,0.42,0.57,48.41,15.0,82.0,22.0,36.0,524.0,08-26 22:43:53,0
27.5,20.0,12.0,8.0,2.86,0.92,0.55,0.51,48.44,15.0,82.0,22.0,35.0,521.0,08-26 22:43:54,0
27.4,20.0,12.0,8.0,2.17,1.33,0.46,0.52,48.37,14.0,83.0,22.0,35.0,527.0,08-26 22:43:55,0
27.4,20.0,12.0,7.0,2.84,1.1,0.44,0.57,48.38,14.0,83.0,22.0,35.0,530.0,08-26 22:43:56,0
27.4,20.0,11.0,9.0,2.31,1.12,0.51,0.5,48.39,14.0,83.0,23.0,36.0,530.0,08-26 22:43:57,0
27.4,21.0,12.0,9.0,2.51,1.34,0.41,0.57,48.39,12.0,82.0,22.0,35.0,528.0,08-26 22:43:58,0
27.39,20.0,12.0,8.0,2.68,0.89,0.54,0.46,48.43,15.0,82.0,23.0,35.0,513.0,08-26 22:43:59,0
27.3,20.0,11.0,8.0,2.2,1.41,0.42,0.53,48.37,15.0,82.0,22.0,35.0,526.0,08-26 22:44:00,0
27.34,19.0,12.0,8.0,2.82,0.94,0.48,0.53,48.35,15.0,82.0,23.0,36.0,515.0,08-26 22:44:01,0
27.4,20.0,13.0,8.0,2.1,1.28,0.49,0.48,48.34,15.0,82.0,22.0,35.0,512.0,08-26 22:44:02,0
27.32,21.0,12.0,8.0,2.61,1.2,0.43,0.59,48.36,14.0,83.0,22.0,35.0,512.0,08-26 22:44:03,0
27.3,20.0,12.0,8.0,2.57,0.99,0.56,0.47,48.38,14.0,83.0,22.0,36.0,523.0,08-26 22:44:04,0
27.4,19.0,12.0,8.0,2.24,1.38,0.41,0.54,48.3,14.0,83.0,22.0,35.0,530.0,08-26 22:44:05,0
27.4,19.0,12.0,7.0,2.8,1.2,0.4,0.6,48.28,15.0,82.0,22.0,35.0,518.0,08-26 22:44:06,0
